ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	ranking	is_significant	is_neuronal	n_genes_ranked
GO:0071277	cellular response to calcium ion	85	0.799573379785056	1.27658487282002	0.0104679601864431	0.773543501717301	0.76825943022703	2004	tags=16%, list=9%, signal=15%	14281/11514/110058/18189/65973/110862/20983/17260/16510/20979/18013/108079/192167/54524	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0070507	regulation of microtubule cytoskeleton organization	152	0.769339034619943	1.23630696007756	0.0102583914139418	0.773543501717301	0.76825943022703	1700	tags=12%, list=8%, signal=12%	14677/20393/12695/17475/20257/208177/213582/13640/20617/219103/13837/380842/228421/260315/17755/28105/214444/14168/108079	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0042157	lipoprotein metabolic process	131	0.76584243551153	1.23361645654767	0.0125549884119352	0.773543501717301	0.76825943022703	1752	tags=9%, list=8%, signal=8%	69048/243983/11303/66795/225326/16416/226791/70073/16846/27392/52639/238331	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0031333	negative regulation of protein-containing complex assembly	155	0.76684649235703	1.23277183646521	0.00816182788331852	0.773543501717301	0.76825943022703	1941	tags=14%, list=9%, signal=12%	83964/20393/30949/20257/20741/20660/20617/27360/320722/59030/58799/622675/110957/14489/18613/242553/225288/26409/59036/381293/225115	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0051648	vesicle localization	207	0.749228330474801	1.20896838418252	0.00950010792270905	0.773543501717301	0.76825943022703	1841	tags=13%, list=9%, signal=12%	20336/12558/50791/52906/13426/20617/20969/319613/20965/327814/18189/433485/68861/76205/20983/50873/381269/214459/53378/208943/11774/12387/52639/207425/192167/17912	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0031032	actomyosin structure organization	215	0.749171887842878	1.20830680419578	0.00964971285381794	0.773543501717301	0.76825943022703	2016	tags=15%, list=10%, signal=14%	14744/16423/21336/208177/19878/229474/59030/228564/17996/16419/18760/56363/18186/22437/18708/68178/17260/76260/21333/68016/74103/50768/74376/242553/225288/22138/243725/17930/26934/268970/17868/50490	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0043405	regulation of MAP kinase activity	190	0.74717236739371	1.2032897319707	0.00875208404747374	0.773543501717301	0.76825943022703	1769	tags=12%, list=8%, signal=11%	24064/21939/21898/14182/21844/19252/20660/26408/18213/14164/18205/69601/13838/674895/17260/231474/211770/22034/17096/26409/12156/70097/19876	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0099111	microtubule-based transport	213	0.739591119954466	1.19338407519632	0.0133898471828867	0.773543501717301	0.76825943022703	1809	tags=10%, list=9%, signal=10%	11735/110082/13426/14265/23859/81907/319613/13411/385668/73916/74362/17755/71227/381269/15251/674895/11774/80718/81896/18040/380614/18039	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:1902074	response to salt	324	0.721350845111651	1.16329704958643	0.0121808215743637	0.773543501717301	0.76825943022703	1809	tags=13%, list=9%, signal=12%	14281/11514/19055/14182/18783/19878/110058/20617/23859/12393/12801/319387/12064/225192/18189/18575/65973/110862/53416/84112/16531/15165/20983/50873/13488/67490/17260/16510/18390/18795/20979/20191/18013/22138/20541/11545/20496/108079/17967/192167/12671/50799/18039	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:1990778	protein localization to cell periphery	392	0.718926384328451	1.16196282685898	0.00993898386945648	0.773543501717301	0.76825943022703	1898	tags=11%, list=9%, signal=10%	269109/20614/76740/14677/80334/11735/268566/12558/18191/50791/56508/19878/20660/20617/23859/11845/242274/14811/18189/13837/74998/13869/72433/67295/18708/26422/76089/98496/668212/545156/13383/76260/226791/241263/56839/14168/57440/58998/225049/72287/56461/238331/19092/241556	MeCP2 fold (median significant)	FALSE	FALSE	21098
